t	accent	blue	tile
25.15	3809	0	365644
25.20	3809	0	365644
25.25	3809	0	365644
25.30	3809	0	365644
25.35	3809	0	365644
25.40	3809	0	365644
25.45	3809	0	365644
25.50	3809	0	365644
25.55	3809	0	365644
25.60	3809	0	365644
25.65	3809	0	365644
25.70	3809	0	365644
25.75	3809	0	365644
25.80	3809	0	365644
25.85	3809	0	365644
25.90	3809	0	365644
25.95	3809	0	365644
26.00	3809	0	365644
26.05	3809	0	365644
26.10	3809	0	365644
26.15	3809	0	365644
26.20	3809	0	365644
26.25	3809	0	365644
26.30	3809	0	365644
26.35	3809	0	365644
26.40	3809	0	365644
26.45	3809	0	365644
26.50	3809	0	365644
26.55	3809	0	365644
26.60	3809	0	365644
26.65	3809	0	365644
26.70	3809	0	365644
26.75	3809	0	365644
26.80	3809	0	365644
26.85	3809	0	365644
26.90	3809	0	365644
26.95	3809	0	365644
27.00	3809	0	365644
27.05	3809	0	365644
27.10	3809	0	365644
27.15	3809	0	365644
27.20	3809	0	365644
27.25	3809	0	365644
27.30	3809	0	365644
27.35	3809	0	365644
27.40	3809	0	365644
27.45	3809	0	365644
27.50	3809	0	365644
27.55	3809	0	365644
27.60	3809	0	365644
27.65	3809	0	365644
27.70	3809	0	365644
27.75	3809	0	365644
27.80	3809	0	365644
27.85	3809	0	365644
27.90	3809	0	365644
27.95	3809	0	365644
28.00	3809	0	365644
28.05	3809	0	365644
28.10	3809	0	365644
28.15	3809	0	365644
28.20	3809	0	365644
28.25	3809	0	365644
28.30	3809	0	365644
28.35	3809	0	365644
28.40	3809	0	365644
28.45	3809	0	365644
28.50	3809	0	365644
28.55	3809	0	365644
28.60	3809	0	365644
28.65	3809	0	365644
28.70	3809	0	365644
28.75	3809	0	365644
28.80	3809	0	365644
28.85	3809	0	365644
28.90	3809	0	365644
28.95	3809	0	365644
29.00	3809	0	365644
29.05	3809	0	365644
29.10	3809	0	365644
29.15	3809	0	365644
29.20	3809	0	365644
29.25	3809	0	365644
29.30	3809	0	365644
29.35	3809	0	365644
29.40	3809	0	365644
29.45	3809	0	365644
29.50	3809	0	365644
29.55	3809	0	365644
29.60	3809	0	365644
29.65	3809	0	365644
29.70	3809	0	365644
29.75	3809	0	365644
29.80	3809	0	365644
29.85	3809	0	365644
29.90	3809	0	365644
29.95	3809	0	365644
30.00	3809	0	365644
30.05	3809	0	365644
30.10	3809	0	365644
30.15	3809	0	365644
30.20	3809	0	365644
30.25	3809	0	365644
30.30	3809	0	365644
30.35	3809	0	365644
30.40	3809	0	365644
30.45	3809	0	365644
30.50	3809	0	365644
30.55	3809	0	365644
30.60	3809	0	365644
30.65	3809	0	365644
30.70	3809	0	365644
30.75	3809	0	365644
30.80	3809	0	365644
30.85	3809	0	365644
30.90	3809	0	365644
30.95	3809	0	365644
31.00	3809	0	365644
31.05	3809	0	365644
31.10	3809	0	365644
31.15	3809	0	365644
31.20	3809	0	365644
31.25	3809	0	365644
31.30	3806	0	365645
31.35	3806	0	365645
31.40	3806	0	365645
31.45	3806	0	365645
31.50	3811	0	365645
31.55	3811	0	365645
31.60	3811	0	365645
31.65	3811	0	365645
31.70	3811	0	365645
31.75	3811	0	365645
31.80	3809	0	365644
31.85	3809	0	365644
31.90	3809	0	365644
31.95	3809	0	365644
32.00	3809	0	365644
32.05	3809	0	365644
32.10	3809	0	365644
32.15	3809	0	365644
32.20	3809	0	365644
32.25	3809	0	365644
32.30	3809	0	365644
32.35	3809	0	365644
32.40	3809	0	365644
32.45	3809	0	365644
32.50	3809	0	365644
32.55	3809	0	365644
32.60	3809	0	365644
32.65	3809	0	365644
32.70	3809	0	365644
32.75	3809	0	365644
32.80	3809	0	365644
32.85	3809	0	365644
32.90	3809	0	365644
32.95	3809	0	365644
33.00	3809	0	365644
33.05	3809	0	365644
33.10	3809	0	365644
33.15	3809	0	365644
33.20	3809	0	365644
33.25	3809	0	365644
33.30	3809	0	365644
33.35	3809	0	365644
33.40	3809	0	365644
33.45	3809	0	365644
33.50	3809	0	365644
33.55	3809	0	365644
33.60	3809	0	365644
33.65	3809	0	365644
33.70	3809	0	365644
33.75	3809	0	365644
33.80	3809	0	365644
33.85	3809	0	365644
33.90	3809	0	365644
33.95	3809	0	365644
34.00	3809	0	365644
34.05	3809	0	365644
34.10	3809	0	365644
34.15	3809	0	365644
34.20	3809	0	365644
34.25	3809	0	365644
34.30	3809	0	365644
34.35	3809	0	365644
34.40	3809	0	365644
34.45	3809	0	365644
34.50	3809	0	365644
34.55	3809	0	365644
34.60	3809	0	365644
34.65	3809	0	365644
34.70	3809	0	365644
34.75	3809	0	365644
34.80	3809	0	365644
34.85	3809	0	365644
34.90	3809	0	365644
34.95	3809	0	365644
35.00	3809	0	365644
35.05	3809	0	365644
35.10	3809	0	365644
35.15	3809	0	365644
35.20	3809	0	365644
35.25	3809	0	365644
35.30	3809	0	365644
35.35	3809	0	365644
35.40	3809	0	365644
35.45	3809	0	365644
35.50	3809	0	365644
35.55	3809	0	365644
35.60	3809	0	365644
35.65	3809	0	365644
35.70	3809	0	365644
35.75	3809	0	365644
35.80	3809	0	365644
35.85	3809	0	365644
35.90	3809	0	365644
35.95	3809	0	365644
36.00	3809	0	365644
36.05	3809	0	365644
36.10	3809	0	365644
36.15	3809	0	365644
36.20	3809	0	365644
36.25	3809	0	365644
36.30	3809	0	365644
36.35	3809	0	365644
36.40	3809	0	365644
36.45	3809	0	365644
36.50	3809	0	365644
36.55	3809	0	365644
36.60	3809	0	365644
36.65	3809	0	365644
36.70	3809	0	365644
36.75	3809	0	365644
36.80	3809	0	365644
36.85	3809	0	365644
36.90	3809	0	365644
36.95	3809	0	365644
37.00	3809	0	365644
37.05	3809	0	365644
37.10	3809	0	365644
37.15	3809	0	365644
37.20	3809	0	365644
37.25	3809	0	365644
37.30	3809	0	365644
37.35	3809	0	365644
37.40	3809	0	365644
37.45	3809	0	365644
37.50	3809	0	365644
37.55	3809	0	365644
37.60	3809	0	365644
37.65	3809	0	365644
37.70	3809	0	365644
37.75	3809	0	365644
37.80	3809	0	365644
37.85	3809	0	365644
37.90	3809	0	365644
37.95	3809	0	365644
38.00	3809	0	365644
38.05	3809	0	365644
38.10	3809	0	365644
38.15	3809	0	365644
38.20	3809	0	365644
